Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2018010081607,1,1,1,1,53,8,3,0,0,0,0,0,9,1,10
2018010081607,1,2,3,2,47,8,1,10,9,0,0,2,0,1,9
2018010081607,1,3,2,1,23,5,3,0,0,2,0,0,9,1,10
2018010081607,1,4,2,1,23,5,3,0,0,2,0,0,9,-1,-1
2018010081608,2,1,1,2,23,5,3,0,0,0,0,0,3,1,4
2018010081609,2,1,1,1,31,6,3,0,0,0,0,0,3,1,5
2018010081612,1,1,2,1,36,7,3,0,0,1,0,0,8,1,2
2018010081615,2,1,1,2,56,9,3,0,0,0,0,0,1,1,9
2018010081617,1,1,1,1,22,5,3,0,0,0,0,0,3,1,6
2018010081617,2,2,1,2,35,6,3,0,0,0,0,0,9,1,4
2018010081618,1,1,3,1,63,9,3,5,4,0,0,2,0,-1,-1
2018010081622,1,1,1,1,43,7,3,0,0,0,0,0,1,1,3
2018010081624,2,1,1,2,33,6,3,0,0,0,0,0,9,1,1
2018010081624,2,2,2,1,37,7,3,0,0,1,0,0,9,1,1
2018010081624,2,3,2,2,4,1,2,0,0,2,0,0,9,1,1
2018010081624,2,4,2,1,3,1,3,0,0,2,0,0,9,1,1
2018010081626,1,1,1,1,49,8,3,0,0,0,0,0,9,1,5
2018010081626,2,2,1,1,43,7,3,0,0,0,0,0,8,1,1
2018010081642,2,1,1,2,52,8,3,0,0,0,0,0,1,1,4
2018010081655,2,1,1,1,37,7,3,0,0,0,0,0,1,1,3
2018010081657,1,1,3,1,84,11,3,5,1,0,0,2,0,1,9
2018010081663,1,1,1,1,53,8,3,0,0,0,0,0,19,1,2
2018010081670,1,1,1,1,27,6,3,0,0,0,0,0,8,1,3
2018010081673,2,1,1,2,43,7,3,0,0,0,0,0,1,1,10
2018010081677,2,1,1,1,43,7,3,0,0,0,0,0,2,1,6
2018010081690,1,1,1,2,60,9,3,0,0,0,0,0,9,1,6
2018010081703,1,1,2,2,32,6,3,0,0,0,3,0,11,1,5
2018010081704,2,1,3,2,35,6,3,9,5,0,0,2,0,1,6
2018010081705,1,1,3,1,42,7,3,5,9,0,0,2,0,1,7
2018010081706,1,1,1,1,31,6,3,0,0,0,0,0,3,1,10
2018010081711,1,1,1,1,46,8,3,0,0,0,0,0,11,1,2
2018010081713,1,1,1,1,41,7,3,0,0,0,0,0,8,1,6
2018010081715,1,1,2,2,41,7,3,0,0,0,3,0,11,1,2
2018010081716,1,1,3,1,77,11,3,1,3,0,0,2,0,1,4
2018010081723,1,1,1,2,79,11,3,0,0,0,0,0,9,1,9
2018010081727,1,1,1,1,56,9,3,0,0,0,0,0,8,1,4
2018010081728,1,1,3,2,42,7,3,1,3,0,0,2,0,1,3
2018010081730,2,1,1,1,30,6,3,0,0,0,0,0,1,1,2
2018010081734,1,1,3,2,61,9,3,5,1,0,0,2,0,1,3
2018010081737,1,1,1,1,18,4,2,0,0,0,0,0,4,1,3
2018010081737,3,2,1,1,59,9,3,0,0,0,0,0,9,3,9
2018010081741,1,1,3,2,18,4,3,10,9,0,0,2,0,1,3
2018010081743,1,1,1,1,31,6,2,0,0,0,0,0,5,1,4
2018010081744,2,1,1,1,57,9,3,0,0,0,0,0,3,1,1
2018010081745,1,1,1,1,28,6,3,0,0,0,0,0,9,1,4
2018010081750,1,1,1,2,42,7,3,0,0,0,0,0,1,1,6
2018010081756,2,1,1,1,48,8,3,0,0,0,0,0,4,1,3
2018010081757,1,1,1,1,19,4,3,0,0,0,0,0,9,1,3
2018010081759,1,1,3,1,46,8,3,5,1,0,0,2,0,1,2
2018010081762,2,1,1,1,60,9,3,0,0,0,0,0,1,1,7
2018010081764,1,1,1,1,25,5,3,0,0,0,0,0,1,1,5
2018010081766,1,1,1,1,40,7,3,0,0,0,0,0,3,1,4
2018010081767,1,1,3,1,16,4,2,10,9,0,0,2,0,1,6
2018010081770,1,1,2,2,6,2,3,0,0,0,2,0,11,1,1
2018010081771,1,1,3,1,34,6,3,1,1,0,0,2,0,1,6
2018010081775,1,1,3,1,61,9,2,1,9,0,0,2,0,1,3
2018010081778,1,1,1,2,22,5,3,0,0,0,0,0,9,1,9
2018010081786,2,1,1,1,24,5,3,0,0,0,0,0,9,1,1
2018010081787,2,1,1,1,31,6,3,0,0,0,0,0,4,1,6
2018010081794,1,1,1,1,58,9,3,0,0,0,0,0,8,1,9
2018010081795,1,1,2,2,81,11,3,0,0,0,2,0,11,1,1
2018010081796,2,1,1,1,19,4,3,0,0,0,0,0,3,1,1
2018010081797,2,1,1,1,17,4,3,0,0,0,0,0,3,1,5
2018010081802,1,1,2,2,27,6,3,0,0,1,0,0,9,1,4
2018010081804,1,1,1,1,54,8,3,0,0,0,0,0,1,1,3
2018010081807,1,1,1,1,35,6,3,0,0,0,0,0,9,1,3
2018010081807,1,2,2,1,19,4,3,0,0,1,0,0,9,1,2
2018010081807,2,3,1,1,37,7,3,0,0,0,0,0,9,1,4
2018010081808,2,1,1,1,18,4,2,0,0,0,0,0,4,1,1
2018010081810,1,1,2,2,26,6,3,0,0,1,0,0,9,1,2
2018010081810,1,2,2,2,23,5,3,0,0,1,0,0,9,1,2
2018010081810,1,3,2,1,17,4,3,0,0,2,0,0,9,1,2
2018010081811,1,1,1,1,54,8,1,0,0,0,0,0,8,1,3
2018010081811,2,2,1,1,46,8,2,0,0,0,0,0,8,1,2
2018010081815,1,1,3,1,37,7,3,5,1,0,0,2,0,1,2
2018010081818,2,1,1,2,31,6,2,0,0,0,0,0,9,1,5
2018010081821,1,1,1,2,32,6,3,0,0,0,0,0,9,1,6
2018010081821,2,2,1,1,38,7,3,0,0,0,0,0,9,1,6
2018010081821,3,3,1,2,47,8,3,0,0,0,0,0,9,1,6
2018010081824,1,1,3,2,30,6,2,6,9,0,0,2,0,1,6
2018010081829,1,1,3,1,16,4,3,5,1,0,0,2,0,1,9
2018010081831,2,1,1,1,22,5,2,0,0,0,0,0,1,1,4
2018010081836,2,1,1,1,60,9,3,0,0,0,0,0,9,1,9
2018010081836,2,2,2,2,26,6,3,0,0,1,0,0,9,1,9
2018010081840,2,1,3,1,53,8,3,10,9,0,0,2,0,1,5
2018010081840,2,2,3,2,52,8,3,10,9,0,0,2,0,1,5
2018010081842,1,1,1,1,41,7,3,0,0,0,0,0,3,1,2
2018010081843,2,1,1,1,32,6,3,0,0,0,0,0,9,2,8
2018010081844,1,1,1,1,33,6,3,0,0,0,0,0,1,1,5
2018010081845,1,1,1,1,38,7,3,0,0,0,0,0,90,1,4
2018010081846,2,1,1,1,51,8,3,0,0,0,0,0,3,1,8
2018010081847,2,1,1,1,19,4,3,0,0,0,0,0,9,1,5
2018010081848,2,1,3,2,-1,-1,3,5,9,0,0,2,0,1,3
2018010081851,1,1,2,1,72,10,3,0,0,0,2,0,11,1,3
2018010081854,1,1,3,2,62,9,3,1,9,0,0,2,0,1,5
2018010081857,2,1,1,1,30,6,3,0,0,0,0,0,3,1,2
2018010081859,2,1,1,1,32,6,3,0,0,0,0,0,3,1,3
2018010081862,1,1,1,2,34,6,3,0,0,0,0,0,9,1,3
2018010081863,1,1,1,2,26,6,3,0,0,0,0,0,5,1,7
2018010081870,1,1,1,1,30,6,3,0,0,0,0,0,1,1,10
2018010081874,1,1,2,1,37,7,3,0,0,2,0,0,8,1,2
2018010081878,1,1,3,2,32,6,3,1,1,0,0,2,0,1,9
2018010081886,1,1,3,1,16,4,3,5,3,0,0,2,0,1,7
2018010081890,1,1,2,1,23,5,3,0,0,1,0,0,9,1,3
2018010081891,1,1,3,2,49,8,3,1,1,0,0,2,0,1,5
2018010081894,1,1,1,2,67,10,3,0,0,0,0,0,9,1,2
2018010081894,2,2,2,2,66,10,3,0,0,1,0,0,9,1,7
2018010081895,1,1,3,2,88,11,2,1,1,0,0,2,0,1,8
2018010081897,2,1,1,1,60,9,2,0,0,0,0,0,5,1,7
2018010081899,1,1,1,1,47,8,3,0,0,0,0,0,1,1,6
2018010081901,1,1,1,1,23,5,3,0,0,0,0,0,1,1,3
2018010081902,1,1,3,2,48,8,3,1,1,0,0,2,0,1,3
2018010081904,1,1,3,1,43,7,2,5,1,0,0,2,0,1,2
2018010081905,1,1,2,2,78,11,3,0,0,0,2,0,11,1,3
2018010081907,1,1,2,2,10,2,3,0,0,2,0,0,9,1,5
2018010081908,1,1,1,2,29,6,3,0,0,0,0,0,9,1,5
2018010081908,2,2,1,1,26,6,3,0,0,0,0,0,9,2,5
2018010081908,3,3,1,1,21,5,3,0,0,0,0,0,9,1,7
2018010081909,2,1,1,1,14,3,3,0,0,0,0,0,1,1,1
2018010081913,2,1,1,1,28,6,2,0,0,0,0,0,3,1,4
2018010081914,1,1,3,2,16,4,3,1,1,0,0,2,0,1,4
2018010081915,2,1,1,1,33,6,3,0,0,0,0,0,5,1,2
2018010081916,1,1,1,1,30,6,3,0,0,0,0,0,9,1,8
2018010081919,1,1,3,2,19,4,3,1,9,0,0,2,0,1,7
2018010081920,1,1,3,2,84,11,2,8,3,0,0,2,0,1,9
2018010081922,1,1,1,1,40,7,3,0,0,0,0,0,1,1,4
2018010081923,1,1,1,1,30,6,3,0,0,0,0,0,9,1,10
2018010081923,1,2,2,2,9,2,3,0,0,1,0,0,9,1,3
2018010081924,1,1,1,1,22,5,3,0,0,0,0,0,3,1,5
